Self Analysis,# Users,# Future Feeling - Scared As Hell,# Future Feeling - Cautiously Optimistic,# Future Feeling - A Little Wary,# Future Feeling - On The Fence,# Future Feeling - Super Excited
Average User:   I know enough to get by.,78861,5105,20512,32109,17787,3348
Luddite:  Technology scares me! I only use it when I have to.,6975,2130,609,3103,883,250
"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",72738,3410,27882,21377,12728,7341
"Ultra Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr. Robot.",18888,1663,6159,5389,2080,3597
